Stats on input FMs
"","mean","median","min","max"
"Path Length (WordNet) - TOP 2",0.579829593591606,0.571428571428571,0,1
"Path Length (WordNet) - TOP 3",0.699967482866251,0.777777777777778,0,1
"Path Length (WordNet) - TOP 4",0.763314725146751,0.857142857142857,0,1
"Path Length (WordNet) - TOP 5",0.813729946797086,0.923076923076923,0.0625,1
"Path Length (WordNet) - Full Synthesis",0.390461910462775,0.377777777777778,0,1
"Wikipedia Miner metric (db_wikipedia) - TOP 1",0.397300190352707,0.416666666666667,0,1
"Wikipedia Miner metric (db_wikipedia) - TOP 2",0.581075247988675,0.590909090909091,0,1
"Wikipedia Miner metric (db_wikipedia) - TOP 3",0.688412709563337,0.692307692307692,0.0363636363636364,1
"Wikipedia Miner metric (db_wikipedia) - TOP 4",0.764180865667131,0.875,0.0363636363636364,1
"Wikipedia Miner metric (db_wikipedia) - TOP 5",0.816474484408308,0.916666666666667,0.0545454545454545,1
"Wikipedia Miner metric (db_wikipedia) - Full Synthesis",0.38183272962432,0.384615384615385,0,1
"Wikipedia Miner metric (db_wiktionary) - TOP 1",0.402350019588904,0.384615384615385,0,1
"Wikipedia Miner metric (db_wiktionary) - TOP 2",0.578607515476394,0.571428571428571,0,1
"Wikipedia Miner metric (db_wiktionary) - TOP 3",0.691579168673561,0.75,0,1
"Wikipedia Miner metric (db_wiktionary) - TOP 4",0.758100068714187,0.85,0,1
"Wikipedia Miner metric (db_wiktionary) - TOP 5",0.809381841764434,0.909090909090909,0.109090909090909,1
"Wikipedia Miner metric (db_wiktionary) - Full Synthesis",0.375795899136264,0.333333333333333,0,1
"Transitive reduction metric - TOP 1",0.332290385954513,0.333333333333333,0,1
"Transitive reduction metric - TOP 2",0.527355211146321,0.5,0,1
"Transitive reduction metric - TOP 3",0.668726158775261,0.714285714285714,0,1
"Transitive reduction metric - TOP 4",0.755515179615903,0.846153846153846,0,1
"Transitive reduction metric - TOP 5",0.813619975555442,0.909090909090909,0,1
"Transitive reduction metric - Full Synthesis",0.305844941348266,0.25,0,1

Full synthesis on reduced BIG (random)
"","mean","median","min","max"
"run",499.5,499.5,0,999
"Random - TOP 1",0.333809894078076,0.309803921568628,0.0295812142403052,1
"Random - TOP 2",0.520395671260686,0.511904761904762,0.0591624284806103,1
"Random - TOP 3",0.656390559223962,0.684285714285714,0.0887436427209155,1
"Random - TOP 4",0.739672184435147,0.785714285714286,0.118324856961221,1
"Random - TOP 5",0.799668736538187,0.904761904761905,0.147906071201526,1
"Random - Full Synthesis",0.313251960736425,0.275862068965517,0,1

Clusters
"","mean","median","min","max"
"Smith Waterman (Simmetrics) - #clusters",4.12903225806452,4,0,15
"Smith Waterman (Simmetrics) - average cluster size",2.81310377197474,2.6,0,6
"Smith Waterman (Simmetrics) - % correct clusters",0.507518115942029,0.5,0,1
"Smith Waterman (Simmetrics) - % features in a correct cluster",0.291781537919299,0.235294117647059,0,0.923076923076923
"Levenshtein (Simmetrics) - #clusters",4.05376344086022,4,1,13
"Levenshtein (Simmetrics) - average cluster size",2.77740458466265,2.5,2,5.5
"Levenshtein (Simmetrics) - % correct clusters",0.52013601691021,0.5,0,1
"Levenshtein (Simmetrics) - % features in a correct cluster",0.300010542859337,0.294117647058824,0,0.785714285714286
"Wu & Palmer (WordNet) - #clusters",2.73118279569892,2,0,12
"Wu & Palmer (WordNet) - average cluster size",2.33072623314559,2,0,6
"Wu & Palmer (WordNet) - % correct clusters",0.579088224437062,0.5,0,1
"Wu & Palmer (WordNet) - % features in a correct cluster",0.188282213765603,0.181818181818182,0,0.7
"Path Length (WordNet) - #clusters",2.39784946236559,2,0,12
"Path Length (WordNet) - average cluster size",2.15190732206861,2,0,8
"Path Length (WordNet) - % correct clusters",0.701195767195767,0.8,0,1
"Path Length (WordNet) - % features in a correct cluster",0.219732065050368,0.181818181818182,0,0.8
"Wikipedia Miner metric (db_wikipedia) - #clusters",3.26881720430108,3,0,12
"Wikipedia Miner metric (db_wikipedia) - average cluster size",2.85571847507331,2.66666666666667,0,6.5
"Wikipedia Miner metric (db_wikipedia) - % correct clusters",0.545520421607378,0.5,0,1
"Wikipedia Miner metric (db_wikipedia) - % features in a correct cluster",0.266175532275919,0.2,0,0.8
"Wikipedia Miner metric (db_wiktionary) - #clusters",2.83870967741935,3,0,11
"Wikipedia Miner metric (db_wiktionary) - average cluster size",2.31121739670127,2.22222222222222,0,5
"Wikipedia Miner metric (db_wiktionary) - % correct clusters",0.641847041847042,0.666666666666667,0,1
"Wikipedia Miner metric (db_wiktionary) - % features in a correct cluster",0.234914276897012,0.2,0,0.7
"Transitive reduction metric - #clusters",2.24731182795699,2,1,6
"Transitive reduction metric - average cluster size",2.7910394265233,3,2.25,4
"Transitive reduction metric - % correct clusters",0.365232974910394,0.333333333333333,0,1
"Transitive reduction metric - % features in a correct cluster",0.145592640192487,0.0967741935483871,0,0.75

Clusters (random)
"","mean","median","min","max"
"run",499.5,499.5,0,999
"Random - #clusters",6.24767741935484,5,0,26
"Random - average cluster size",2.15543198494697,2.125,0,5
"Random - % correct clusters",0.270740611249696,0.25,0,1
"Random - % features in a correct cluster",0.183436793354774,0.16,0,1

Clusters on reduced BIG
"","mean","median","min","max"
"Smith Waterman (Simmetrics) - #clusters",2.96774193548387,3,0,9
"Smith Waterman (Simmetrics) - average cluster size",2.49082181259601,2.33333333333333,0,6
"Smith Waterman (Simmetrics) - % correct clusters",0.679848567779602,0.75,0,1
"Smith Waterman (Simmetrics) - % features in a correct cluster",0.268823621098404,0.222222222222222,0,0.923076923076923
"Levenshtein (Simmetrics) - #clusters",3.09677419354839,3,0,9
"Levenshtein (Simmetrics) - average cluster size",2.4947345963475,2.5,0,5.5
"Levenshtein (Simmetrics) - % correct clusters",0.646348314606742,0.75,0,1
"Levenshtein (Simmetrics) - % features in a correct cluster",0.282644587133249,0.241379310344828,0,0.785714285714286
"Wu & Palmer (WordNet) - #clusters",2.26881720430108,2,0,10
"Wu & Palmer (WordNet) - average cluster size",2.10613585936167,2,0,6
"Wu & Palmer (WordNet) - % correct clusters",0.656835317460317,0.666666666666667,0,1
"Wu & Palmer (WordNet) - % features in a correct cluster",0.181935375670038,0.176470588235294,0,0.7
"Path Length (WordNet) - #clusters",1.97849462365591,2,0,11
"Path Length (WordNet) - average cluster size",1.98197877391426,2,0,8
"Path Length (WordNet) - % correct clusters",0.761703554661301,1,0,1
"Path Length (WordNet) - % features in a correct cluster",0.203683498450019,0.166666666666667,0,0.692307692307692
"Wikipedia Miner metric (db_wikipedia) - #clusters",2.47311827956989,2,0,9
"Wikipedia Miner metric (db_wikipedia) - average cluster size",2.46836490868749,2.5,0,5.5
"Wikipedia Miner metric (db_wikipedia) - % correct clusters",0.671160944998154,0.69047619047619,0,1
"Wikipedia Miner metric (db_wikipedia) - % features in a correct cluster",0.247124369012232,0.2,0,0.764705882352941
"Wikipedia Miner metric (db_wiktionary) - #clusters",2.21505376344086,2,0,8
"Wikipedia Miner metric (db_wiktionary) - average cluster size",2.07651049667179,2,0,5
"Wikipedia Miner metric (db_wiktionary) - % correct clusters",0.751333333333333,1,0,1
"Wikipedia Miner metric (db_wiktionary) - % features in a correct cluster",0.215594818156301,0.181818181818182,0,0.7
"Transitive reduction metric - #clusters",2.08602150537634,2,0,6
"Transitive reduction metric - average cluster size",2.66003584229391,3,0,3
"Transitive reduction metric - % correct clusters",0.399814814814815,0.5,0,1
"Transitive reduction metric - % features in a correct cluster",0.145592640192487,0.0967741935483871,0,0.75

Clusters on reduced BIG (random)
"","mean","median","min","max"
"run",499.5,499.5,0,999
"Random - #clusters",3.98024731182796,4,0,20
"Random - average cluster size",2.04535582666683,2,0,4
"Random - % correct clusters",0.400250305754521,0.333333333333333,0,1
"Random - % features in a correct cluster",0.174404425128073,0.153846153846154,0,1

Cliques
"","mean","median","min","max"
"#clusters",1.59139784946237,1,0,6
"average cluster size",5.09408602150538,4,0,16
"% correct clusters",0.489700374531835,0.5,0,1
"% features in a correct cluster",0.165618103550164,0.15,0,0.75
"% connected cliques in hierarchy",0.945692883895131,1,0.166666666666667,1
"% simple unfolding",0.489700374531835,0.5,0,1
"% features in simple unfolding",0.165618103550164,0.15,0,0.75

Feature groups
"","mean","median","min","max"
"Mutex - #clusters",3.51612903225806,1,0,47
"Mutex - average cluster size",1.29515040000184,2,0,5
"Mutex - % correct clusters",0.345244113386648,0.142857142857143,0,1
"Mutex - % features in a correct cluster",0.0599925976441134,0,0,0.764705882352941
"Xor - #clusters",7.2258064516129,1,0,473
"Xor - average cluster size",1.66131412903731,2,0,4.5
"Xor - % correct clusters",0.890523767305463,1,0.0761099365750529,1
"Xor - % features in a correct cluster",0.216939507445818,0.166666666666667,0,1.73214285714286
"Or - #clusters",1.10752688172043,1,0,12
"Or - average cluster size",1.83333333333333,2,0,6
"Or - % correct clusters",0.810263653483992,1,0,1
"Or - % features in a correct cluster",0.134884367797181,0.111111111111111,0,0.785714285714286
"All - #clusters",11.3978494623656,3,0,520
"All - average cluster size",2.35980775228386,2.33333333333333,0,6
"All - % correct clusters",0.68531629541655,0.666666666666667,0,1
"All - % features in a correct cluster",0.366811538745883,0.346153846153846,0,1.76785714285714

Feature groups on reduced BIG
"","mean","median","min","max"
"Mutex - #clusters",0.483870967741935,0,0,7
"Mutex - average cluster size",0.6226318484383,0,0,3.33333333333333
"Mutex - % correct clusters",0.656084656084656,1,0,1
"Mutex - % features in a correct cluster",0.030856749126203,0,0,0.272727272727273
"Xor - #clusters",2.13978494623656,1,0,63
"Xor - average cluster size",1.45387438129374,2,0,4
"Xor - % correct clusters",0.923044217687075,1,0.142857142857143,1
"Xor - % features in a correct cluster",0.159729398782633,0.142857142857143,0,0.615384615384615
"Or - #clusters",1.10752688172043,1,0,12
"Or - average cluster size",1.83333333333333,2,0,6
"Or - % correct clusters",0.810263653483992,1,0,1
"Or - % features in a correct cluster",0.134884367797181,0.111111111111111,0,0.785714285714286
"All - #clusters",3.73118279569892,2,0,65
"All - average cluster size",2.29485490614523,2.33333333333333,0,6
"All - % correct clusters",0.824564116439116,1,0,1
"All - % features in a correct cluster",0.325470515706017,0.333333333333333,0,0.846153846153846

