ID,Smith Waterman (Simmetrics) - #clusters,Smith Waterman (Simmetrics) - average cluster size,Smith Waterman (Simmetrics) - % correct clusters,Smith Waterman (Simmetrics) - % features in a correct cluster,Levenshtein (Simmetrics) - #clusters,Levenshtein (Simmetrics) - average cluster size,Levenshtein (Simmetrics) - % correct clusters,Levenshtein (Simmetrics) - % features in a correct cluster,Wu & Palmer (WordNet) - #clusters,Wu & Palmer (WordNet) - average cluster size,Wu & Palmer (WordNet) - % correct clusters,Wu & Palmer (WordNet) - % features in a correct cluster,Path Length (WordNet) - #clusters,Path Length (WordNet) - average cluster size,Path Length (WordNet) - % correct clusters,Path Length (WordNet) - % features in a correct cluster,Wikipedia Miner metric (db_wikipedia) - #clusters,Wikipedia Miner metric (db_wikipedia) - average cluster size,Wikipedia Miner metric (db_wikipedia) - % correct clusters,Wikipedia Miner metric (db_wikipedia) - % features in a correct cluster,Wikipedia Miner metric (db_wiktionary) - #clusters,Wikipedia Miner metric (db_wiktionary) - average cluster size,Wikipedia Miner metric (db_wiktionary) - % correct clusters,Wikipedia Miner metric (db_wiktionary) - % features in a correct cluster,Transitive reduction metric - #clusters,Transitive reduction metric - average cluster size,Transitive reduction metric - % correct clusters,Transitive reduction metric - % features in a correct cluster
model_20100322_955726153,4,2.5,0.25,0.1,4,2.0,0.25,0.1,2,2.0,0.5,0.1,0,0,N/A,0,1,2.0,1.0,0.1,2,2.0,0.5,0.1,2,3.0,0.5,0.15
model_20110127_1318390760,2,2.0,1.0,0.3076923076923077,3,2.3333333333333335,0.6666666666666666,0.38461538461538464,1,2.0,1.0,0.15384615384615385,2,2.0,1.0,0.3076923076923077,2,3.0,0.5,0.15384615384615385,1,3.0,1.0,0.23076923076923078,1,3.0,0.0,0.0
model_20100308_1032655961,1,2.0,1.0,0.13333333333333333,1,2.0,1.0,0.13333333333333333,2,2.5,0.0,0.0,1,2.0,0.0,0.0,1,2.0,0.0,0.0,2,2.0,0.0,0.0,1,2.0,1.0,0.13333333333333333
model_20110525_564104612,0,0,N/A,0,1,2.0,0.0,0.0,1,2.0,0.0,0.0,1,2.0,0.0,0.0,0,0,N/A,0,0,0,N/A,0,4,2.5,0.5,0.18518518518518517
model_20100529_1010171189,5,2.0,0.2,0.09090909090909091,3,2.0,0.3333333333333333,0.09090909090909091,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,2,3.0,0.5,0.13636363636363635
model_20100324_1996898492,2,3.0,0.5,0.2727272727272727,2,3.0,0.5,0.2727272727272727,2,2.0,0.5,0.18181818181818182,1,3.0,0.0,0.0,1,3.0,0.0,0.0,1,3.0,0.0,0.0,1,3.0,0.0,0.0
model_20110823_1386366267,1,4.0,1.0,0.26666666666666666,1,3.0,0.0,0.0,2,2.0,0.5,0.13333333333333333,2,3.0,0.5,0.2,1,4.0,0.0,0.0,2,3.0,0.5,0.2,2,2.5,0.5,0.13333333333333333
model_20110525_1619420630,9,2.3333333333333335,0.7777777777777778,0.3333333333333333,9,2.888888888888889,0.6666666666666666,0.3333333333333333,10,2.3,0.9,0.4666666666666667,11,2.5454545454545454,1.0,0.6222222222222222,9,2.888888888888889,0.8888888888888888,0.4666666666666667,8,3.0,0.875,0.4222222222222222,6,2.5,0.16666666666666666,0.044444444444444446
model_20120202_1596034358,2,3.0,0.5,0.2,1,3.0,1.0,0.3,2,2.0,0.5,0.2,2,2.5,1.0,0.5,3,2.3333333333333335,1.0,0.7,2,2.0,1.0,0.4,1,3.0,1.0,0.3
model_20110722_419227445,7,3.2857142857142856,0.7142857142857143,0.48,8,2.875,0.625,0.48,7,3.142857142857143,0.2857142857142857,0.16,8,2.75,0.5,0.36,6,3.3333333333333335,0.3333333333333333,0.28,5,3.8,0.6,0.28,5,2.6,0.8,0.4
