ID,#features,depth of hierarchy,#edges in BIG,#edges in reduced BIG,parent candidates (min),parent candidates (max),parent candidates (average),% parents kept after reducing BIG
REAL-FM-14,18,4,79,45,2,7,4.388888888888889,0.6111111111111112
model_20110406_1047532859,29,3,104,52,2,6,3.586206896551724,0.8275862068965517
model_20110124_2116036381,18,4,107,52,4,8,5.944444444444445,0.5
model_20131129_1795005487,10,3,30,18,2,5,3.0,0.7
model_20110318_225131257,15,3,110,56,6,9,7.333333333333333,0.5333333333333333
model_20110328_1177934440,18,4,225,41,12,15,12.5,0.16666666666666666
model_20110203_1382675896,14,3,104,48,7,8,7.428571428571429,0.42857142857142855
model_20091210_241985787,16,3,35,23,1,3,2.1875,0.875
model_20130426_1685243628,16,3,25,15,0,2,1.5625,0.9375
model_20111025_1408959776,13,3,84,42,6,7,6.461538461538462,0.46153846153846156
model_20120531_2078087379,17,3,195,27,11,13,11.470588235294118,0.11764705882352941
model_20110605_1465859222,17,4,160,70,9,10,9.411764705882353,0.4117647058823529
model_20111220_1184087779,15,4,48,24,2,4,3.2,0.7333333333333333
REAL-FM-6,11,3,34,19,2,5,3.090909090909091,0.6363636363636364
model_20100412_337845737,10,3,90,0,9,9,9.0,0.0
model_20130911_2001583567,34,4,370,203,10,13,10.882352941176471,0.6764705882352942
model_20131122_23346211,15,5,62,29,2,7,4.133333333333334,0.6
model_20120110_1094246588,10,3,30,18,2,5,3.0,0.7
model_20120627_1512389149,11,3,47,18,3,7,4.2727272727272725,0.45454545454545453
model_20111027_668940289,29,6,356,172,8,19,12.275862068965518,0.41379310344827586
model_20101104_260803083,11,4,35,14,2,4,3.1818181818181817,0.7272727272727273
stack_fm,17,4,42,22,1,4,2.4705882352941178,0.8235294117647058
REAL-FM-7,14,3,41,20,1,5,2.9285714285714284,0.5714285714285714
model_20121018_1186774722,16,4,68,42,3,6,4.25,0.625
model_20091015_449909368,10,3,39,19,3,6,3.9,0.6
model_20121123_1014773113,16,4,111,39,5,9,6.9375,0.25
REAL-FM-5,17,3,63,24,2,6,3.7058823529411766,0.47058823529411764
model_20100624_2076952989,17,4,57,31,2,6,3.3529411764705883,0.7058823529411765
model_20110207_906076676,12,3,66,36,5,6,5.5,0.5
REAL-FM-20,44,11,498,109,1,16,11.318181818181818,0.7272727272727273
model_20130621_2143921379,29,5,186,84,5,9,6.413793103448276,0.6896551724137931
model_20120905_104354355,13,4,108,36,8,9,8.307692307692308,0.3076923076923077
model_20120829_1418879889,10,4,72,16,7,8,7.2,0.2
model_20111020_455520177,11,3,40,28,3,4,3.6363636363636362,0.6363636363636364
model_20110214_751339643,56,5,1513,449,21,36,27.017857142857142,0.32142857142857145
model_20091210_993249741,29,4,238,98,7,10,8.206896551724139,0.7241379310344828
model_20131124_646639708,16,3,153,42,9,12,9.5625,0.3125
model_20101110_1749898936,19,5,126,54,4,8,6.631578947368421,0.7368421052631579
