ID,Mutex - #clusters,Mutex - average cluster size,Mutex - % correct clusters,Mutex - % features in a correct cluster,Xor - #clusters,Xor - average cluster size,Xor - % correct clusters,Xor - % features in a correct cluster,Or - #clusters,Or - average cluster size,Or - % correct clusters,Or - % features in a correct cluster,All - #clusters,All - average cluster size,All - % correct clusters,All - % features in a correct cluster
model_20130311_1184229274,0,0,N/A,0,1,2.0,1.0,0.2,0,0,N/A,0,1,2.0,1.0,0.2
model_20130917_1805517149,2,2.5,0.5,0.15384615384615385,1,3.0,1.0,0.23076923076923078,5,2.4,0.6,0.5384615384615384,8,2.5,0.625,0.9230769230769231
model_20131206_656913635,2,2.0,0.0,0.0,0,0,N/A,0,0,0,N/A,0,2,2.0,0.0,0.0
model_20110127_1318390760,0,0,N/A,0,1,3.0,1.0,0.23076923076923078,1,2.0,1.0,0.15384615384615385,2,2.5,1.0,0.38461538461538464
model_20131122_1083650489,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20100308_1032655961,2,2.0,0.5,0.13333333333333333,1,2.0,1.0,0.13333333333333333,1,2.0,1.0,0.13333333333333333,3,2.0,0.6666666666666666,0.26666666666666666
model_20120828_1516795545,0,0,N/A,0,0,0,N/A,0,1,2.0,1.0,0.15384615384615385,1,2.0,1.0,0.15384615384615385
model_20110525_564104612,1,2.0,0.0,0.0,1,2.0,1.0,0.07407407407407407,1,6.0,1.0,0.2222222222222222,3,3.3333333333333335,0.6666666666666666,0.2962962962962963
model_20121213_681234650,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20130106_749900457,0,0,N/A,0,2,4.0,1.0,0.38095238095238093,2,4.0,1.0,0.38095238095238093,4,4.0,1.0,0.7619047619047619
model_20100529_1010171189,1,5.0,1.0,0.22727272727272727,3,3.3333333333333335,1.0,0.45454545454545453,0,0,N/A,0,3,3.3333333333333335,1.0,0.45454545454545453
model_20100324_1996898492,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20110823_1386366267,1,3.0,1.0,0.2,1,3.0,1.0,0.2,0,0,N/A,0,1,3.0,1.0,0.2
