ID,FASE - Full Synthesis
model_20130311_1184229274,0.2
model_20130917_1805517149,0.23076923076923078
model_20131206_656913635,0.5
model_20110127_1318390760,0.38461538461538464
model_20131122_1083650489,0.3333333333333333
model_20100308_1032655961,0.4
model_20120828_1516795545,0.46153846153846156
model_20110525_564104612,0.48148148148148145
model_20121213_681234650,0.42424242424242425
model_20130106_749900457,0.38095238095238093
model_20100529_1010171189,0.22727272727272727
model_20100324_1996898492,0.0
model_20110823_1386366267,0.8
model_20110525_1619420630,0.3111111111111111
model_20120202_1596034358,0.0
model_20110722_419227445,0.08
model_20121219_629525870,0.1111111111111111
model_20120411_196667302,0.2692307692307692
model_20120824_761159432,0.17391304347826086
car_fm,0.6428571428571429
REAL-FM-15,0.04
model_20130716_384525556,0.47058823529411764
model_20100822_281357717,0.7333333333333333
model_20131129_1765219729,0.7
model_20100805_1484639410,0.16129032258064516
REAL-FM-9,0.42857142857142855
model_20110428_553405269,0.10810810810810811
model_20120920_383492576,0.2727272727272727
model_20110203_2097159983,0.4444444444444444
model_20101111_1790887308,0.5
model_20110306_314567479,0.0
model_20110428_1131293346,0.3076923076923077
model_20100712_329430908,0.1
model_20120806_904481092,0.4117647058823529
model_20120328_1309817018,0.2857142857142857
model_20091206_1647557456,0.6
model_20100824_837146809,0.09090909090909091
model_20130722_443972122,0.25
model_20100213_206550190,0.18421052631578946
REAL-FM-13,0.5
REAL-FM-12,0.42857142857142855
fame_dbms_fm,0.23809523809523808
aircraft_fm,0.46153846153846156
model_20120328_361613983,0.375
model_20120109_1808102333,0.5555555555555556
model_20101111_156018899,0.4166666666666667
model_20131201_820966647,0.7222222222222222
model_20121102_768518520,1.0
model_20101119_1472596180,0.44
REAL-FM-14,0.3333333333333333
model_20110406_1047532859,0.4827586206896552
model_20110124_2116036381,0.4444444444444444
model_20131129_1795005487,0.5
model_20110318_225131257,0.4
model_20110328_1177934440,0.16666666666666666
model_20110203_1382675896,0.0
model_20091210_241985787,0.75
model_20130426_1685243628,1.0
model_20111025_1408959776,0.6153846153846154
model_20120531_2078087379,0.11764705882352941
model_20110605_1465859222,0.11764705882352941
model_20111220_1184087779,0.6
REAL-FM-6,0.5454545454545454
model_20100412_337845737,0.0
model_20130911_2001583567,0.20588235294117646
model_20131122_23346211,0.5333333333333333
model_20120110_1094246588,0.5
model_20120627_1512389149,0.36363636363636365
model_20111027_668940289,0.06896551724137931
model_20101104_260803083,0.8181818181818182
stack_fm,0.6470588235294118
REAL-FM-7,0.5714285714285714
model_20121018_1186774722,0.25
model_20091015_449909368,0.6
model_20121123_1014773113,0.5625
REAL-FM-5,0.35294117647058826
model_20100624_2076952989,0.5294117647058824
model_20110207_906076676,0.25
REAL-FM-20,0.4318181818181818
model_20130621_2143921379,0.3103448275862069
model_20120905_104354355,0.0
model_20120829_1418879889,0.0
model_20111020_455520177,0.0
model_20110214_751339643,0.17857142857142858
model_20091210_993249741,0.41379310344827586
model_20131124_646639708,0.0625
model_20101110_1749898936,0.15789473684210525
model_20091129_1734444143,0.4166666666666667
model_20121017_2007593800,0.2
REAL-FM-2,0.21739130434782608
model_20120728_275737618,0.2857142857142857
model_20130418_1158438101,0.3684210526315789
model_20120124_94644767,0.08333333333333333
model_20110525_928187171,0.0
model_20121219_1714348674,0.7
model_20131217_806985744,0.6363636363636364
model_20120202_114979109,0.22727272727272727
model_20120328_810464459,0.11764705882352941
model_20120328_1373483522,0.15384615384615385
model_20131122_913576973,0.0
REAL-FM-19,0.13333333333333333
model_20130122_243381566,0.8571428571428571
model_20110601_1103941862,0.4166666666666667
model_20110622_260389190,0.16666666666666666
model_20131210_413521746,0.6153846153846154
model_20100719_944437142,0.27586206896551724
model_20100625_251719781,1.0
model_20130116_382639902,0.3870967741935484
connector_fm,0.55
model_20110519_1142211980,0.0
model_20091109_376438407,0.3181818181818182
model_20130125_189285641,0.2222222222222222
movies_app_fm,0.46153846153846156
model_20100216_713947806,0.25
model_20131129_2135897376,0.2
model_20130305_204544380,0.3076923076923077
cfdp_library_fm,1.0
model_20130422_1348727660,0.3684210526315789
model_20120528_1294065815,0.6153846153846154
model_20120113_1950870026,0.2
REAL-FM-8,0.23529411764705882
model_20120822_650185552,0.24
model_20101120_2091447559,0.0
model_20120722_2065280700,0.9230769230769231
model_20111214_733452875,0.4666666666666667
model_20130115_768867592,0.36363636363636365
