ID,#clusters,average cluster size,% correct clusters,% features in a correct cluster,% connected cliques in hierarchy,% simple unfolding,% features in simple unfolding
model_20110428_553405269,3,6.333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
model_20120920_383492576,1,7.0,0.0,0.0,1.0,0.0,0.0
model_20110203_2097159983,1,8.0,0.0,0.0,1.0,0.0,0.0
model_20101111_1790887308,1,3.0,1.0,0.3,1.0,1.0,0.3
model_20110306_314567479,1,6.0,0.0,0.0,1.0,0.0,0.0
model_20110428_1131293346,2,5.0,0.5,0.15384615384615385,1.0,0.5,0.15384615384615385
model_20100712_329430908,1,10.0,0.0,0.0,1.0,0.0,0.0
model_20120806_904481092,2,3.5,1.0,0.4117647058823529,1.0,1.0,0.4117647058823529
model_20120328_1309817018,1,3.0,0.0,0.0,1.0,0.0,0.0
model_20091206_1647557456,1,2.0,1.0,0.2,1.0,1.0,0.2
model_20100824_837146809,3,3.6666666666666665,1.0,0.5,1.0,1.0,0.5
model_20130722_443972122,1,5.0,0.0,0.0,1.0,0.0,0.0
model_20100213_206550190,1,12.0,0.0,0.0,1.0,0.0,0.0
REAL-FM-13,2,2.5,0.5,0.16666666666666666,1.0,0.5,0.16666666666666666
REAL-FM-12,1,3.0,0.0,0.0,1.0,0.0,0.0
fame_dbms_fm,2,4.0,0.5,0.14285714285714285,1.0,0.5,0.14285714285714285
aircraft_fm,1,3.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078
model_20120328_361613983,2,4.0,0.5,0.125,1.0,0.5,0.125
model_20120109_1808102333,2,6.5,0.0,0.0,0.5,0.0,0.0
model_20101111_156018899,1,4.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333
model_20131201_820966647,1,10.0,1.0,0.5555555555555556,1.0,1.0,0.5555555555555556
model_20121102_768518520,0,0,N/A,N/A,N/A,N/A,N/A
model_20101119_1472596180,1,8.0,0.0,0.0,1.0,0.0,0.0
REAL-FM-14,4,2.5,0.75,0.3888888888888889,1.0,0.75,0.3888888888888889
model_20110406_1047532859,1,3.0,1.0,0.10344827586206896,1.0,1.0,0.10344827586206896
model_20110124_2116036381,4,3.0,0.75,0.3888888888888889,1.0,0.75,0.3888888888888889
model_20131129_1795005487,1,3.0,1.0,0.3,1.0,1.0,0.3
model_20110318_225131257,3,4.333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
model_20110328_1177934440,2,7.5,0.0,0.0,0.5,0.0,0.0
model_20110203_1382675896,1,8.0,0.0,0.0,1.0,0.0,0.0
model_20091210_241985787,1,2.0,1.0,0.125,1.0,1.0,0.125
model_20130426_1685243628,0,0,N/A,N/A,N/A,N/A,N/A
model_20111025_1408959776,1,7.0,0.0,0.0,1.0,0.0,0.0
model_20120531_2078087379,1,12.0,0.0,0.0,1.0,0.0,0.0
model_20110605_1465859222,1,10.0,0.0,0.0,1.0,0.0,0.0
model_20111220_1184087779,1,3.0,1.0,0.2,1.0,1.0,0.2
REAL-FM-6,1,3.0,1.0,0.2727272727272727,1.0,1.0,0.2727272727272727
model_20100412_337845737,1,10.0,0.0,0.0,1.0,0.0,0.0
model_20130911_2001583567,1,11.0,0.0,0.0,1.0,0.0,0.0
model_20131122_23346211,2,3.5,0.5,0.2,1.0,0.5,0.2
model_20120110_1094246588,1,3.0,1.0,0.3,1.0,1.0,0.3
model_20120627_1512389149,1,4.0,1.0,0.36363636363636365,1.0,1.0,0.36363636363636365
model_20111027_668940289,3,6.333333333333333,0.6666666666666666,0.3448275862068966,1.0,0.6666666666666666,0.3448275862068966
model_20101104_260803083,1,3.0,1.0,0.2727272727272727,1.0,1.0,0.2727272727272727
stack_fm,2,2.0,1.0,0.23529411764705882,1.0,1.0,0.23529411764705882
REAL-FM-7,3,2.0,1.0,0.42857142857142855,1.0,1.0,0.42857142857142855
model_20121018_1186774722,2,3.5,1.0,0.4375,1.0,1.0,0.4375
model_20091015_449909368,1,4.0,0.0,0.0,1.0,0.0,0.0
model_20121123_1014773113,3,4.0,0.6666666666666666,0.375,1.0,0.6666666666666666,0.375
REAL-FM-5,1,3.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413
model_20100624_2076952989,1,3.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413
model_20110207_906076676,1,6.0,1.0,0.5,1.0,1.0,0.5
REAL-FM-20,6,2.8333333333333335,0.5,0.1590909090909091,1.0,0.5,0.1590909090909091
model_20130621_2143921379,2,4.0,0.0,0.0,0.5,0.0,0.0
model_20120905_104354355,1,9.0,0.0,0.0,1.0,0.0,0.0
model_20120829_1418879889,1,8.0,0.0,0.0,1.0,0.0,0.0
model_20111020_455520177,1,4.0,0.0,0.0,1.0,0.0,0.0
model_20110214_751339643,6,8.333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0
model_20091210_993249741,1,8.0,0.0,0.0,1.0,0.0,0.0
model_20131124_646639708,1,10.0,1.0,0.625,1.0,1.0,0.625
model_20101110_1749898936,3,3.6666666666666665,0.0,0.0,0.3333333333333333,0.0,0.0
model_20091129_1734444143,1,4.0,0.0,0.0,1.0,0.0,0.0
model_20121017_2007593800,1,3.0,1.0,0.3,1.0,1.0,0.3
REAL-FM-2,1,6.0,0.0,0.0,1.0,0.0,0.0
model_20120728_275737618,1,3.0,1.0,0.21428571428571427,1.0,1.0,0.21428571428571427
model_20130418_1158438101,1,6.0,0.0,0.0,1.0,0.0,0.0
model_20120124_94644767,1,4.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333
model_20110525_928187171,1,10.0,0.0,0.0,1.0,0.0,0.0
model_20121219_1714348674,1,2.0,1.0,0.2,1.0,1.0,0.2
model_20131217_806985744,1,3.0,0.0,0.0,1.0,0.0,0.0
model_20120202_114979109,1,8.0,0.0,0.0,1.0,0.0,0.0
model_20120328_810464459,2,5.5,0.5,0.23529411764705882,1.0,0.5,0.23529411764705882
model_20120328_1373483522,2,4.0,0.5,0.15384615384615385,1.0,0.5,0.15384615384615385
model_20131122_913576973,5,4.0,0.8,0.43478260869565216,1.0,0.8,0.43478260869565216
REAL-FM-19,3,6.333333333333333,0.6666666666666666,0.26666666666666666,1.0,0.6666666666666666,0.26666666666666666
model_20130122_243381566,1,4.0,1.0,0.2857142857142857,1.0,1.0,0.2857142857142857
model_20110601_1103941862,1,5.0,0.0,0.0,1.0,0.0,0.0
model_20110622_260389190,1,5.0,0.0,0.0,1.0,0.0,0.0
model_20131210_413521746,2,3.0,1.0,0.46153846153846156,1.0,1.0,0.46153846153846156
model_20100719_944437142,2,3.5,0.5,0.1724137931034483,0.5,0.5,0.1724137931034483
model_20100625_251719781,0,0,N/A,N/A,N/A,N/A,N/A
model_20130116_382639902,3,3.6666666666666665,0.6666666666666666,0.12903225806451613,1.0,0.6666666666666666,0.12903225806451613
connector_fm,2,3.0,1.0,0.3,1.0,1.0,0.3
model_20110519_1142211980,1,10.0,0.0,0.0,1.0,0.0,0.0
model_20091109_376438407,1,8.0,0.0,0.0,1.0,0.0,0.0
model_20130125_189285641,2,7.0,0.5,0.1111111111111111,1.0,0.5,0.1111111111111111
movies_app_fm,2,3.0,1.0,0.46153846153846156,1.0,1.0,0.46153846153846156
model_20100216_713947806,1,9.0,1.0,0.75,1.0,1.0,0.75
model_20131129_2135897376,1,3.0,1.0,0.3,1.0,1.0,0.3
model_20130305_204544380,1,3.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078
cfdp_library_fm,0,0,N/A,N/A,N/A,N/A,N/A
model_20130422_1348727660,1,4.0,1.0,0.21052631578947367,1.0,1.0,0.21052631578947367
model_20120528_1294065815,2,3.5,0.5,0.15384615384615385,1.0,0.5,0.15384615384615385
model_20120113_1950870026,1,4.0,1.0,0.4,1.0,1.0,0.4
REAL-FM-8,1,11.0,0.0,0.0,1.0,0.0,0.0
model_20120822_650185552,4,3.25,0.25,0.28,0.25,0.25,0.28
model_20101120_2091447559,2,9.5,0.5,0.15,1.0,0.5,0.15
model_20120722_2065280700,0,0,N/A,N/A,N/A,N/A,N/A
model_20111214_733452875,1,13.0,0.0,0.0,1.0,0.0,0.0
model_20130115_768867592,1,4.0,1.0,0.36363636363636365,1.0,1.0,0.36363636363636365
