ID,Mutex - #clusters,Mutex - average cluster size,Mutex - % correct clusters,Mutex - % features in a correct cluster,Xor - #clusters,Xor - average cluster size,Xor - % correct clusters,Xor - % features in a correct cluster,Or - #clusters,Or - average cluster size,Or - % correct clusters,Or - % features in a correct cluster,All - #clusters,All - average cluster size,All - % correct clusters,All - % features in a correct cluster
model_20120109_1808102333,0,0,N/A,0,2,2.0,0.5,0.1111111111111111,1,2.0,1.0,0.1111111111111111,3,2.0,0.6666666666666666,0.2222222222222222
model_20101111_156018899,0,0,N/A,0,1,2.0,1.0,0.16666666666666666,2,2.5,1.0,0.4166666666666667,3,2.3333333333333335,1.0,0.5833333333333334
model_20131201_820966647,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20121102_768518520,0,0,N/A,0,0,0,N/A,0,2,3.5,1.0,0.5,2,3.5,1.0,0.5
model_20101119_1472596180,1,2.0,1.0,0.08,1,2.0,1.0,0.08,3,2.6666666666666665,1.0,0.32,5,2.4,1.0,0.48
REAL-FM-14,0,0,N/A,0,1,3.0,1.0,0.16666666666666666,0,0,N/A,0,1,3.0,1.0,0.16666666666666666
model_20110406_1047532859,0,0,N/A,0,3,2.3333333333333335,1.0,0.2413793103448276,3,2.6666666666666665,1.0,0.27586206896551724,6,2.5,1.0,0.5172413793103449
model_20110124_2116036381,1,2.0,1.0,0.1111111111111111,0,0,N/A,0,12,3.0,0.08333333333333333,0.16666666666666666,13,2.923076923076923,0.15384615384615385,0.2777777777777778
model_20131129_1795005487,1,2.0,0.0,0.0,1,3.0,1.0,0.3,1,2.0,1.0,0.2,3,2.3333333333333335,0.6666666666666666,0.5
model_20110318_225131257,0,0,N/A,0,10,2.0,0.4,0.5333333333333333,0,0,N/A,0,10,2.0,0.4,0.5333333333333333
model_20110328_1177934440,0,0,N/A,0,0,0,N/A,0,1,2.0,0.0,0.0,1,2.0,0.0,0.0
model_20110203_1382675896,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20091210_241985787,0,0,N/A,0,0,0,N/A,0,1,4.0,1.0,0.25,1,4.0,1.0,0.25
model_20130426_1685243628,0,0,N/A,0,1,2.0,1.0,0.125,4,2.0,1.0,0.5,5,2.0,1.0,0.625
model_20111025_1408959776,0,0,N/A,0,0,0,N/A,0,1,6.0,1.0,0.46153846153846156,1,6.0,1.0,0.46153846153846156
model_20120531_2078087379,0,0,N/A,0,0,0,N/A,0,1,2.0,1.0,0.11764705882352941,1,2.0,1.0,0.11764705882352941
model_20110605_1465859222,0,0,N/A,0,0,0,N/A,0,1,3.0,1.0,0.17647058823529413,1,3.0,1.0,0.17647058823529413
model_20111220_1184087779,1,3.0,1.0,0.2,3,2.3333333333333335,1.0,0.4666666666666667,1,4.0,0.0,0.0,5,2.8,0.8,0.6666666666666666
REAL-FM-6,1,2.0,1.0,0.18181818181818182,1,2.0,1.0,0.18181818181818182,2,2.5,0.5,0.18181818181818182,4,2.25,0.75,0.5454545454545454
model_20100412_337845737,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20130911_2001583567,0,0,N/A,0,6,2.6666666666666665,1.0,0.47058823529411764,2,2.5,1.0,0.14705882352941177,8,2.625,1.0,0.6176470588235294
model_20131122_23346211,0,0,N/A,0,2,2.0,1.0,0.26666666666666666,5,2.0,0.4,0.26666666666666666,7,2.0,0.5714285714285714,0.5333333333333333
model_20120110_1094246588,1,2.0,0.0,0.0,1,3.0,1.0,0.3,1,2.0,1.0,0.2,3,2.3333333333333335,0.6666666666666666,0.5
model_20120627_1512389149,0,0,N/A,0,1,2.0,1.0,0.18181818181818182,2,2.0,0.0,0.0,3,2.0,0.3333333333333333,0.18181818181818182
model_20111027_668940289,3,2.0,0.6666666666666666,0.13793103448275862,2,2.0,1.0,0.13793103448275862,0,0,N/A,0,5,2.0,0.8,0.27586206896551724
model_20101104_260803083,0,0,N/A,0,1,2.0,1.0,0.18181818181818182,2,2.5,1.0,0.45454545454545453,3,2.3333333333333335,1.0,0.6363636363636364
stack_fm,0,0,N/A,0,4,2.25,0.75,0.4117647058823529,1,3.0,1.0,0.17647058823529413,5,2.4,0.8,0.5882352941176471
REAL-FM-7,0,0,N/A,0,1,2.0,1.0,0.14285714285714285,1,2.0,1.0,0.14285714285714285,2,2.0,1.0,0.2857142857142857
model_20121018_1186774722,0,0,N/A,0,1,2.0,1.0,0.125,1,3.0,1.0,0.1875,2,2.5,1.0,0.3125
model_20091015_449909368,0,0,N/A,0,1,2.0,1.0,0.2,1,2.0,1.0,0.2,2,2.0,1.0,0.4
model_20121123_1014773113,0,0,N/A,0,0,0,N/A,0,3,2.0,0.0,0.0,3,2.0,0.0,0.0
REAL-FM-5,1,2.0,1.0,0.11764705882352941,3,2.0,1.0,0.35294117647058826,0,0,N/A,0,4,2.0,1.0,0.47058823529411764
model_20100624_2076952989,0,0,N/A,0,3,2.0,1.0,0.35294117647058826,2,3.0,0.5,0.11764705882352941,5,2.4,0.8,0.47058823529411764
model_20110207_906076676,0,0,N/A,0,2,3.0,1.0,0.5,0,0,N/A,0,2,3.0,1.0,0.5
REAL-FM-20,7,2.5714285714285716,0.7142857142857143,0.2727272727272727,2,2.5,1.0,0.11363636363636363,0,0,N/A,0,9,2.5555555555555554,0.7777777777777778,0.38636363636363635
model_20130621_2143921379,0,0,N/A,0,1,3.0,1.0,0.10344827586206896,4,2.5,0.75,0.2413793103448276,5,2.6,0.8,0.3448275862068966
model_20120905_104354355,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20120829_1418879889,0,0,N/A,0,0,0,N/A,0,1,2.0,1.0,0.2,1,2.0,1.0,0.2
model_20111020_455520177,0,0,N/A,0,0,0,N/A,0,1,4.0,1.0,0.36363636363636365,1,4.0,1.0,0.36363636363636365
model_20110214_751339643,2,3.0,0.5,0.05357142857142857,63,2.126984126984127,0.14285714285714285,0.3392857142857143,0,0,N/A,0,65,2.1538461538461537,0.15384615384615385,0.39285714285714285
