ID,Smith Waterman (Simmetrics) - #clusters,Smith Waterman (Simmetrics) - average cluster size,Smith Waterman (Simmetrics) - % correct clusters,Smith Waterman (Simmetrics) - % features in a correct cluster,Levenshtein (Simmetrics) - #clusters,Levenshtein (Simmetrics) - average cluster size,Levenshtein (Simmetrics) - % correct clusters,Levenshtein (Simmetrics) - % features in a correct cluster,Wu & Palmer (WordNet) - #clusters,Wu & Palmer (WordNet) - average cluster size,Wu & Palmer (WordNet) - % correct clusters,Wu & Palmer (WordNet) - % features in a correct cluster,Path Length (WordNet) - #clusters,Path Length (WordNet) - average cluster size,Path Length (WordNet) - % correct clusters,Path Length (WordNet) - % features in a correct cluster,Wikipedia Miner metric (db_wikipedia) - #clusters,Wikipedia Miner metric (db_wikipedia) - average cluster size,Wikipedia Miner metric (db_wikipedia) - % correct clusters,Wikipedia Miner metric (db_wikipedia) - % features in a correct cluster,Wikipedia Miner metric (db_wiktionary) - #clusters,Wikipedia Miner metric (db_wiktionary) - average cluster size,Wikipedia Miner metric (db_wiktionary) - % correct clusters,Wikipedia Miner metric (db_wiktionary) - % features in a correct cluster,Transitive reduction metric - #clusters,Transitive reduction metric - average cluster size,Transitive reduction metric - % correct clusters,Transitive reduction metric - % features in a correct cluster
model_20120824_761159432,5,2.6,0.2,0.13043478260869565,4,2.75,0.25,0.13043478260869565,2,3.5,0.5,0.13043478260869565,1,3.0,1.0,0.13043478260869565,4,3.5,0.25,0.08695652173913043,3,2.0,1.0,0.2608695652173913,4,2.25,0.5,0.21739130434782608
car_fm,3,3.0,0.3333333333333333,0.14285714285714285,4,2.25,1.0,0.6428571428571429,2,2.0,0.5,0.14285714285714285,3,2.0,0.6666666666666666,0.2857142857142857,3,2.0,0.6666666666666666,0.2857142857142857,3,2.3333333333333335,1.0,0.5,2,3.0,0.5,0.21428571428571427
REAL-FM-15,8,2.5,0.5,0.36,7,2.2857142857142856,0.5714285714285714,0.36,3,2.0,1.0,0.24,3,2.3333333333333335,0.3333333333333333,0.08,7,2.142857142857143,0.5714285714285714,0.32,5,2.4,0.6,0.24,3,2.3333333333333335,0.3333333333333333,0.08
model_20130716_384525556,4,2.5,0.25,0.11764705882352941,5,2.2,0.8,0.47058823529411764,4,2.0,1.0,0.47058823529411764,2,2.0,1.0,0.23529411764705882,4,2.5,0.75,0.35294117647058826,2,2.0,1.0,0.23529411764705882,1,3.0,0.0,0.0
model_20100822_281357717,4,3.5,0.75,0.4,3,4.333333333333333,0.6666666666666666,0.3333333333333333,3,2.3333333333333335,1.0,0.4666666666666667,5,2.4,1.0,0.8,5,2.4,1.0,0.8,3,4.0,0.6666666666666666,0.26666666666666666,3,2.3333333333333335,0.6666666666666666,0.26666666666666666
model_20131129_1765219729,2,2.5,0.0,0.0,2,2.0,0.0,0.0,1,2.0,1.0,0.2,1,2.0,0.0,0.0,0,0,N/A,0,0,0,N/A,0,3,2.3333333333333335,0.3333333333333333,0.2
model_20100805_1484639410,7,2.5714285714285716,0.2857142857142857,0.16129032258064516,7,2.4285714285714284,0.7142857142857143,0.3870967741935484,9,2.111111111111111,0.4444444444444444,0.25806451612903225,6,2.5,0.5,0.2903225806451613,7,2.5714285714285716,0.7142857142857143,0.3548387096774194,9,2.2222222222222223,0.5555555555555556,0.3548387096774194,3,2.6666666666666665,0.3333333333333333,0.0967741935483871
REAL-FM-9,4,2.75,0.5,0.2857142857142857,3,2.3333333333333335,0.0,0.0,1,2.0,0.0,0.0,0,0,N/A,0,2,2.0,0.0,0.0,0,0,N/A,0,1,3.0,1.0,0.21428571428571427
model_20110428_553405269,10,3.6,0.6,0.4864864864864865,7,5.142857142857143,0.2857142857142857,0.1891891891891892,5,4.2,0.4,0.13513513513513514,8,3.625,0.5,0.24324324324324326,12,2.4166666666666665,0.6666666666666666,0.43243243243243246,11,2.6363636363636362,0.5454545454545454,0.35135135135135137,4,2.25,0.0,0.0
model_20120920_383492576,4,2.25,0.5,0.36363636363636365,3,3.0,0.3333333333333333,0.18181818181818182,0,0,N/A,0,2,2.0,0.0,0.0,2,4.0,0.0,0.0,3,2.0,0.0,0.0,1,3.0,0.0,0.0
model_20110203_2097159983,4,2.75,0.5,0.3888888888888889,4,3.25,0.0,0.0,1,2.0,1.0,0.1111111111111111,2,3.0,0.5,0.2222222222222222,4,2.5,0.75,0.4444444444444444,3,2.6666666666666665,0.6666666666666666,0.3333333333333333,1,3.0,1.0,0.16666666666666666
model_20101111_1790887308,2,2.0,0.5,0.2,2,2.5,0.0,0.0,1,2.0,1.0,0.2,0,0,N/A,0,2,2.0,0.5,0.2,0,0,N/A,0,1,3.0,0.0,0.0
model_20110306_314567479,5,2.4,1.0,0.8571428571428571,4,2.5,1.0,0.7142857142857143,0,0,N/A,0,3,2.3333333333333335,0.6666666666666666,0.35714285714285715,3,2.6666666666666665,1.0,0.5714285714285714,3,2.3333333333333335,1.0,0.5,1,3.0,1.0,0.21428571428571427
model_20110428_1131293346,4,2.25,0.75,0.46153846153846156,2,5.0,0.5,0.15384615384615385,0,0,N/A,0,3,2.0,1.0,0.46153846153846156,3,3.3333333333333335,0.3333333333333333,0.15384615384615385,3,2.3333333333333335,0.6666666666666666,0.3076923076923077,1,3.0,0.0,0.0
model_20100712_329430908,3,4.333333333333333,0.3333333333333333,0.2,5,3.2,0.6,0.55,4,3.0,0.75,0.4,4,2.75,0.75,0.4,5,2.6,1.0,0.65,3,3.6666666666666665,0.6666666666666666,0.4,1,3.0,0.0,0.0
model_20120806_904481092,4,3.5,0.5,0.4117647058823529,5,2.8,0.6,0.5294117647058824,3,3.3333333333333335,0.3333333333333333,0.17647058823529413,4,3.5,0.5,0.4117647058823529,4,3.5,0.5,0.4117647058823529,2,3.5,0.0,0.0,2,2.5,1.0,0.29411764705882354
model_20120328_1309817018,2,6.0,0.5,0.6428571428571429,2,5.5,1.0,0.7857142857142857,3,3.0,1.0,0.6428571428571429,1,8.0,1.0,0.5714285714285714,2,5.5,0.5,0.14285714285714285,1,2.0,1.0,0.14285714285714285,1,3.0,0.0,0.0
model_20091206_1647557456,1,3.0,0.0,0.0,1,3.0,0.0,0.0,2,2.5,0.0,0.0,1,2.0,1.0,0.2,3,2.3333333333333335,0.3333333333333333,0.2,0,0,N/A,0,2,2.5,0.5,0.2
model_20100824_837146809,5,2.6,0.4,0.22727272727272727,5,2.4,0.4,0.18181818181818182,4,2.5,0.75,0.2727272727272727,1,4.0,0.0,0.0,3,2.3333333333333335,0.3333333333333333,0.09090909090909091,2,2.5,0.5,0.09090909090909091,3,3.0,0.6666666666666666,0.2727272727272727
model_20130722_443972122,2,4.0,0.0,0.0,2,3.0,1.0,0.5,2,2.5,0.5,0.25,2,4.0,0.0,0.0,3,3.0,0.6666666666666666,0.3333333333333333,2,4.0,0.0,0.0,2,2.5,0.5,0.16666666666666666
model_20100213_206550190,8,3.125,0.125,0.05263157894736842,12,2.25,0.4166666666666667,0.2894736842105263,7,2.142857142857143,0.7142857142857143,0.2631578947368421,3,2.3333333333333335,0.6666666666666666,0.13157894736842105,3,2.6666666666666665,0.3333333333333333,0.07894736842105263,1,3.0,1.0,0.07894736842105263,6,2.3333333333333335,0.16666666666666666,0.05263157894736842
REAL-FM-13,3,2.6666666666666665,0.0,0.0,2,3.0,0.0,0.0,2,2.5,0.5,0.25,1,2.0,1.0,0.16666666666666666,0,0,N/A,0,1,2.0,1.0,0.16666666666666666,2,3.0,0.5,0.25
REAL-FM-12,2,3.5,0.0,0.0,4,2.0,1.0,0.5714285714285714,2,2.0,1.0,0.2857142857142857,1,2.0,1.0,0.14285714285714285,3,3.6666666666666665,0.6666666666666666,0.35714285714285715,3,2.0,0.6666666666666666,0.2857142857142857,3,2.6666666666666665,0.6666666666666666,0.35714285714285715
fame_dbms_fm,6,2.3333333333333335,0.3333333333333333,0.19047619047619047,5,2.0,0.8,0.38095238095238093,2,2.0,0.5,0.09523809523809523,2,2.5,0.5,0.09523809523809523,3,2.3333333333333335,0.0,0.0,3,2.0,0.6666666666666666,0.19047619047619047,2,3.0,0.5,0.14285714285714285
aircraft_fm,2,2.0,0.5,0.15384615384615385,3,2.0,0.6666666666666666,0.3076923076923077,5,2.0,0.6,0.46153846153846156,1,2.0,1.0,0.15384615384615385,3,2.6666666666666665,0.6666666666666666,0.46153846153846156,5,2.4,0.8,0.6923076923076923,1,3.0,1.0,0.23076923076923078
model_20120328_361613983,4,2.25,0.5,0.25,3,2.3333333333333335,0.3333333333333333,0.125,4,2.0,0.75,0.375,2,2.0,0.5,0.125,3,2.0,0.6666666666666666,0.25,3,2.0,0.3333333333333333,0.125,4,2.5,0.75,0.4375
model_20120109_1808102333,5,2.8,0.6,0.5,6,2.5,0.8333333333333334,0.6666666666666666,2,3.5,0.5,0.16666666666666666,4,3.0,0.75,0.4444444444444444,3,3.0,0.6666666666666666,0.2777777777777778,3,2.6666666666666665,0.3333333333333333,0.16666666666666666,1,3.0,0.0,0.0
