ID,Smith Waterman (Simmetrics) - TOP 1,Smith Waterman (Simmetrics) - TOP 2,Smith Waterman (Simmetrics) - TOP 3,Smith Waterman (Simmetrics) - TOP 4,Smith Waterman (Simmetrics) - TOP 5,Smith Waterman (Simmetrics) - Full Synthesis,Levenshtein (Simmetrics) - TOP 1,Levenshtein (Simmetrics) - TOP 2,Levenshtein (Simmetrics) - TOP 3,Levenshtein (Simmetrics) - TOP 4,Levenshtein (Simmetrics) - TOP 5,Levenshtein (Simmetrics) - Full Synthesis,Wu & Palmer (WordNet) - TOP 1,Wu & Palmer (WordNet) - TOP 2,Wu & Palmer (WordNet) - TOP 3,Wu & Palmer (WordNet) - TOP 4,Wu & Palmer (WordNet) - TOP 5,Wu & Palmer (WordNet) - Full Synthesis,Path Length (WordNet) - TOP 1,Path Length (WordNet) - TOP 2,Path Length (WordNet) - TOP 3,Path Length (WordNet) - TOP 4,Path Length (WordNet) - TOP 5,Path Length (WordNet) - Full Synthesis,Wikipedia Miner metric (db_wikipedia) - TOP 1,Wikipedia Miner metric (db_wikipedia) - TOP 2,Wikipedia Miner metric (db_wikipedia) - TOP 3,Wikipedia Miner metric (db_wikipedia) - TOP 4,Wikipedia Miner metric (db_wikipedia) - TOP 5,Wikipedia Miner metric (db_wikipedia) - Full Synthesis,Wikipedia Miner metric (db_wiktionary) - TOP 1,Wikipedia Miner metric (db_wiktionary) - TOP 2,Wikipedia Miner metric (db_wiktionary) - TOP 3,Wikipedia Miner metric (db_wiktionary) - TOP 4,Wikipedia Miner metric (db_wiktionary) - TOP 5,Wikipedia Miner metric (db_wiktionary) - Full Synthesis,Transitive reduction metric - TOP 1,Transitive reduction metric - TOP 2,Transitive reduction metric - TOP 3,Transitive reduction metric - TOP 4,Transitive reduction metric - TOP 5,Transitive reduction metric - Full Synthesis
Comparison_of_desktop_publishing_software.fmlbdd,0.5217391304347826,0.6521739130434783,0.9130434782608695,0.9565217391304348,0.9565217391304348,0.4166666666666667,0.4782608695652174,0.6521739130434783,0.782608695652174,0.8695652173913043,0.9565217391304348,0.3333333333333333,0.4782608695652174,0.6521739130434783,0.7391304347826086,0.782608695652174,0.9565217391304348,0.3333333333333333,0.4782608695652174,0.6086956521739131,0.7391304347826086,0.7391304347826086,0.9565217391304348,0.3333333333333333,0.43478260869565216,0.6521739130434783,0.782608695652174,0.9565217391304348,0.9565217391304348,0.4166666666666667,0.391304347826087,0.6086956521739131,0.782608695652174,0.9565217391304348,0.9565217391304348,0.3333333333333333,0.34782608695652173,0.34782608695652173,0.6956521739130435,0.9565217391304348,0.9565217391304348,0.375
Comparison_of_Internet_forum_software.fmlbdd,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.6363636363636364,0.6818181818181818,0.30434782608695654,0.3181818181818182,0.45454545454545453,0.5,0.5454545454545454,0.5909090909090909,0.2608695652173913,0.2727272727272727,0.4090909090909091,0.5,0.5454545454545454,0.7272727272727273,0.17391304347826086,0.2727272727272727,0.3181818181818182,0.3181818181818182,0.5454545454545454,0.6818181818181818,0.17391304347826086,0.36363636363636365,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6818181818181818,0.34782608695652173,0.36363636363636365,0.36363636363636365,0.4090909090909091,0.4090909090909091,0.45454545454545453,0.21739130434782608,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.5909090909090909,0.08695652173913043
Comparison_of_photo_gallery_software.fmlbdd,0.8035714285714286,0.8214285714285714,0.9464285714285714,0.9642857142857143,0.9642857142857143,0.7192982456140351,0.6964285714285714,0.8392857142857143,0.875,0.9642857142857143,0.9642857142857143,0.7368421052631579,0.7857142857142857,0.875,0.8928571428571429,0.9642857142857143,0.9642857142857143,0.8070175438596491,0.7321428571428571,0.8214285714285714,0.8571428571428571,0.9642857142857143,0.9642857142857143,0.7192982456140351,0.875,0.9464285714285714,0.9464285714285714,0.9642857142857143,0.9642857142857143,0.8421052631578947,0.6964285714285714,0.75,0.8928571428571429,0.9642857142857143,0.9642857142857143,0.6842105263157895,0.625,0.6964285714285714,0.875,0.9642857142857143,0.9642857142857143,0.6140350877192983
Comparison_of_image_viewers.fmlbdd,0.7684210526315789,0.8315789473684211,0.9052631578947369,0.9157894736842105,0.968421052631579,0.7708333333333334,0.8,0.8315789473684211,0.8631578947368421,0.8947368421052632,0.968421052631579,0.7395833333333334,0.7578947368421053,0.7789473684210526,0.8526315789473684,0.9263157894736842,0.968421052631579,0.6979166666666666,0.7473684210526316,0.7684210526315789,0.8315789473684211,0.9157894736842105,0.968421052631579,0.6875,0.7263157894736842,0.7684210526315789,0.7684210526315789,0.8315789473684211,0.968421052631579,0.7291666666666666,0.7368421052631579,0.7578947368421053,0.7578947368421053,0.8842105263157894,0.968421052631579,0.6979166666666666,0.7368421052631579,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.968421052631579,0.7083333333333334
Comparison_of_Internet_Relay_Chat_clients.fmlbdd,0.59375,0.825,0.96875,0.98125,0.98125,0.577639751552795,0.625,0.80625,0.9375,0.98125,0.98125,0.6335403726708074,0.68125,0.8,0.9375,0.98125,0.98125,0.6832298136645962,0.6,0.76875,0.93125,0.98125,0.98125,0.6086956521739131,0.5625,0.79375,0.94375,0.98125,0.98125,0.577639751552795,0.64375,0.8125,0.94375,0.98125,0.98125,0.6770186335403726,0.5375,0.61875,0.8375,0.98125,0.98125,0.5900621118012422
Comparison_of_help_desk_issue_tracking_software.fmlbdd,0.3157894736842105,0.6578947368421053,0.868421052631579,0.9473684210526315,0.9473684210526315,0.3333333333333333,0.13157894736842105,0.42105263157894735,0.7105263157894737,0.9473684210526315,0.9473684210526315,0.10256410256410256,0.39473684210526316,0.631578947368421,0.7894736842105263,0.9473684210526315,0.9473684210526315,0.358974358974359,0.47368421052631576,0.6052631578947368,0.7631578947368421,0.9473684210526315,0.9473684210526315,0.4358974358974359,0.34210526315789475,0.5526315789473685,0.7368421052631579,0.9473684210526315,0.9473684210526315,0.3076923076923077,0.3157894736842105,0.631578947368421,0.7894736842105263,0.9473684210526315,0.9473684210526315,0.28205128205128205,0.34210526315789475,0.6052631578947368,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.3076923076923077
Comparison_of_file_comparison_tools.fmlbdd,0.3275862068965517,0.5344827586206896,0.6551724137931034,0.7068965517241379,0.7413793103448276,0.3728813559322034,0.3793103448275862,0.4827586206896552,0.603448275862069,0.6896551724137931,0.7586206896551724,0.3559322033898305,0.4482758620689655,0.5172413793103449,0.5689655172413793,0.5862068965517241,0.6896551724137931,0.4406779661016949,0.39655172413793105,0.5172413793103449,0.603448275862069,0.6379310344827587,0.7068965517241379,0.3898305084745763,0.41379310344827586,0.5344827586206896,0.6379310344827587,0.6379310344827587,0.6896551724137931,0.3898305084745763,0.3793103448275862,0.5,0.5517241379310345,0.603448275862069,0.7413793103448276,0.4067796610169492,0.43103448275862066,0.4827586206896552,0.5689655172413793,0.7068965517241379,0.8103448275862069,0.4067796610169492
Comparison_of_relational_database_management_systems.fmlbdd,0.2631578947368421,0.3263157894736842,0.4105263157894737,0.4421052631578947,0.5052631578947369,0.2916666666666667,0.2,0.24210526315789474,0.3157894736842105,0.43157894736842106,0.47368421052631576,0.19791666666666666,0.2631578947368421,0.29473684210526313,0.35789473684210527,0.4421052631578947,0.47368421052631576,0.2708333333333333,0.2736842105263158,0.3473684210526316,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.2604166666666667,0.3368421052631579,0.45263157894736844,0.49473684210526314,0.5578947368421052,0.6,0.3125,0.25263157894736843,0.43157894736842106,0.4842105263157895,0.5368421052631579,0.6105263157894737,0.23958333333333334,0.2631578947368421,0.37894736842105264,0.4,0.45263157894736844,0.5789473684210527,0.19791666666666666
Comparison_of_genealogy_software.fmlbdd,0.14285714285714285,0.22448979591836735,0.3673469387755102,0.5306122448979592,0.673469387755102,0.12,0.22448979591836735,0.40816326530612246,0.5102040816326531,0.6326530612244898,0.7346938775510204,0.26,0.2653061224489796,0.30612244897959184,0.32653061224489793,0.5102040816326531,0.7142857142857143,0.26,0.2653061224489796,0.30612244897959184,0.3673469387755102,0.46938775510204084,0.7142857142857143,0.26,0.20408163265306123,0.2857142857142857,0.3673469387755102,0.5102040816326531,0.7346938775510204,0.2,0.14285714285714285,0.24489795918367346,0.3469387755102041,0.4897959183673469,0.673469387755102,0.14,0.10204081632653061,0.3877551020408163,0.3877551020408163,0.5714285714285714,0.673469387755102,0.1
Comparison_of_remote_desktop_software.fmlbdd,0.7619047619047619,1.0,1.0,1.0,1.0,0.8823529411764706,0.8571428571428571,1.0,1.0,1.0,1.0,0.8705882352941177,0.9404761904761905,1.0,1.0,1.0,1.0,0.9529411764705882,0.9047619047619048,1.0,1.0,1.0,1.0,0.9176470588235294,0.9166666666666666,1.0,1.0,1.0,1.0,0.9294117647058824,0.7976190476190477,1.0,1.0,1.0,1.0,0.8470588235294118,0.6190476190476191,1.0,1.0,1.0,1.0,0.6235294117647059
